tool,db,tool_db,data_type,project,technology,sample,raw_path
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/sourmash-results/sim_ont-report.csv.summarized.csv
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/sylph-results/sim_ont.fastq.sylphmpa
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/Kraken2-results/sim_pacbio_report.tsv
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/Centrifuge-results/sim_pacbio_report.tsv
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/Centrifuger-results/sim_pacbio_report.tsv
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/ganon2-results/sim_pacbio.tre
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/sourmash-results/sim_pacbio-report.csv.summarized.csv
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/sylph-results/sim_pacbio.fastq.sylphmpa
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Qiagen_report.tsv
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Zymo_report.tsv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Qiagen_report.tsv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Zymo_report.tsv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Qiagen_report.tsv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Zymo_report.tsv
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/ganon2-results/D6331_Qiagen.tre
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/ganon2-results/D6331_Zymo.tre
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sourmash-results/D6331_Qiagen-report.csv.summarized.csv
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sourmash-results/D6331_Zymo-report.csv.summarized.csv
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sylph-results/D6331_Qiagen.fastq.sylphmpa
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sylph-results/D6331_Zymo.fastq.sylphmpa
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128013_report.tsv
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128014_report.tsv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128013_report.tsv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128014_report.tsv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128013_report.tsv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128014_report.tsv
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128013.tre
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128014.tre
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128013-report.csv.summarized.csv
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128014-report.csv.summarized.csv
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128013.fastq.sylphmpa
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128014.fastq.sylphmpa
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/Kraken2-results/sim_ont_report.tsv
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/Centrifuge-results/sim_ont_report.tsv
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/Centrifuger-results/sim_ont_report.tsv
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/ganon2-results/sim_ont.tre
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/sourmash-results/sim_ont-report.csv.summarized.csv
Sylph,default,Sylph_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/sylph-results/sim_ont.fastq.sylphmpa
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/Kraken2-results/sim_pacbio_report.tsv
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/Centrifuge-results/sim_pacbio_report.tsv
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/Centrifuger-results/sim_pacbio_report.tsv
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/ganon2-results/sim_pacbio.tre
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/sourmash-results/sim_pacbio-report.csv.summarized.csv
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/sylph-results/sim_pacbio.fastq.sylphmpa
